subset_size,r2_value,test_accuracy,test_loss,sst2_loss,sst2_accuracy,tweet_eval_loss,tweet_eval_accuracy,yelp_loss,yelp_accuracy,mean_odd_accuracy,mean_odd_loss
2500,0.8870486591138649,0.8818,0.32870280742645264,0.34435129165649414,0.8604730582488233,0.7829641699790955,0.6812648562990709,0.22452996671199799,0.9132105263157895,0.8183161469545612,0.4506151427825292
5000,0.8930879923119861,0.88252,0.2757122814655304,0.33514323830604553,0.8520096809158265,0.6432583928108215,0.6629690988979328,0.2770218849182129,0.8790526315789474,0.7980104704642356,0.41847450534502667
7500,0.89518950809871,0.89428,0.2696215510368347,0.3783267140388489,0.8268571174033764,0.6819772720336914,0.6481308074623641,0.2447516918182373,0.9009473684210526,0.7919784310955977,0.43501855929692584
10000,0.8962570801916665,0.8922,0.25755637884140015,0.36851930618286133,0.8344593089726647,0.6248679757118225,0.6804004898076784,0.24890515208244324,0.9116052631578947,0.808821687312746,0.4140974779923757
12500,0.897006641255916,0.90108,0.2616974115371704,0.42038702964782715,0.814622340346553,0.59422767162323,0.7265360512857452,0.25529107451438904,0.8871842105263158,0.8094475340528713,0.42330192526181537
15000,0.8973546288666676,0.89912,0.26466870307922363,0.44247156381607056,0.8202200478106579,0.7292401790618896,0.6632932363322048,0.22761130332946777,0.9097631578947368,0.7977588140125332,0.466441015402476
17500,0.8976835776365871,0.90104,0.2645717263221741,0.400655597448349,0.8354689750404609,0.6395987868309021,0.7235107685658719,0.24785028398036957,0.8903157894736842,0.8164318443600056,0.4293682227532069
20000,0.8978446023564972,0.89888,0.25178614258766174,0.36945822834968567,0.8353650388275995,0.6295790076255798,0.6879997118778362,0.2394563853740692,0.8976315789473684,0.8069987765509347,0.4128312071164449
22500,0.8980875001717864,0.9002,0.27990618348121643,0.378775030374527,0.8484313055873138,0.6688472032546997,0.7077720953684362,0.23404532670974731,0.9056052631578947,0.8206028880378815,0.42722252011299133
25000,0.8982464138792486,0.90496,0.2558138966560364,0.43154892325401306,0.8225214925240167,0.5944316387176514,0.743391197867896,0.2601678669452667,0.8823684210526316,0.8160937038148481,0.42871614297231037
